,song,debut_date,peak_position,peak_date,weeks_on_chart
0,shake it off,09.06.14,1,09.06.14,50
1,teardrops on my guitar,03.24.07,13,03.01.08,48
2,our song,10.13.07,16,01.19.08,36
3,blank space,11.15.14,1,11.29.14,36
4,i knew you were trouble.,10.27.12,2,01.12.13,36
5,delicate,03.24.18,12,07.28.18,35
6,style,11.15.14,6,03.21.15,32
7,bad blood,11.15.14,1,06.06.15,25
8,i don't wanna live forever,12.31.16,2,03.04.17,23
9,mine,08.21.10,3,08.21.10,23
10,white horse,11.29.08,13,11.29.08,22
11,lover,08.31.19,10,09.07.19,22
12,you need to calm down,06.29.19,2,06.29.19,21
13,two is better than one,09.26.09,18,01.30.10,21
14,sparks fly,11.13.10,17,11.13.10,20
15,tim mcgraw,09.23.06,40,01.13.07,20
16,should've said no,06.07.08,33,08.09.08,20
17,picture to burn,03.01.08,28,05.17.08,20
18,back to december,10.30.10,6,10.30.10,20
19,mean,11.06.10,11,11.06.10,20
20,ours,11.26.11,13,11.26.11,20
21,look what you made me do,09.09.17,1,09.16.17,20
22,...ready for it?,09.23.17,4,09.23.17,20
23,highway don't care,02.23.13,22,06.08.13,20
24,me!,05.04.19,2,05.11.19,20
25,willow,12.26.20,1,12.26.20,20
26,both of us,05.19.12,18,05.19.12,19
27,today was a fairytale,02.06.10,2,02.06.10,18
28,safe & sound,01.07.12,30,01.07.12,17
29,all too well,11.27.21,1,11.27.21,15
30,cardigan,08.08.20,1,08.08.20,14
31,end game,12.09.17,18,01.27.18,14
32,message in a bottle,11.27.21,45,11.27.21,13
33,eyes open,04.07.12,19,04.07.12,13
34,the story of us,11.13.10,41,11.13.10,12
35,out of the woods,11.01.14,18,11.01.14,10
36,new romantics,03.21.15,46,04.30.16,8
37,crazier,04.11.09,17,05.02.09,8
38,the man,09.07.19,23,09.07.19,8
39,the 1,08.08.20,4,08.08.20,6
40,lavender haze,11.05.22,2,11.05.22,6
41,anti,11.05.22,1,11.05.22,6
42,bejeweled,11.05.22,6,11.05.22,6
43,karma,11.05.22,9,11.05.22,6
44,snow on the beach,11.05.22,4,11.05.22,6
45,maroon,11.05.22,3,11.05.22,6
46,vigilante shit,11.05.22,10,11.05.22,6
47,"you're on your own, kid",11.05.22,8,11.05.22,6
48,midnight rain,11.05.22,5,11.05.22,6
49,question...?,11.05.22,7,11.05.22,5
50,labyrinth,11.05.22,14,11.05.22,5
51,sweet nothing,11.05.22,15,11.05.22,5
52,mastermind,11.05.22,13,11.05.22,5
53,exile,08.08.20,6,08.08.20,5
54,you're not sorry,11.15.08,11,11.15.08,5
55,gorgeous,11.11.17,13,11.11.17,4
56,bigger than the whole sky,11.05.22,21,11.05.22,4
57,"would've, could've, should've",11.05.22,20,11.05.22,4
58,the great war,11.05.22,26,11.05.22,4
59,the joker and the queen,02.26.22,21,02.26.22,3
60,paris,11.05.22,32,11.05.22,3
61,high infidelity,11.05.22,33,11.05.22,3
62,speak now,10.23.10,8,10.23.10,3
63,change,08.30.08,10,08.30.08,3
64,jump then fall,11.14.09,10,11.14.09,3
65,the archer,08.03.19,38,09.07.19,3
66,mr. perfectly fine,04.17.21,30,04.24.21,3
67,champagne problems,12.26.20,21,12.26.20,2
68,"no body, no crime",12.26.20,34,12.26.20,2
69,'tis the damn season,12.26.20,39,12.26.20,2
70,betty,08.08.20,42,08.08.20,2
71,i bet you think about me,11.27.21,22,11.27.21,2
72,love story,02.27.21,11,02.27.21,2
73,you all over me,04.10.21,51,04.10.21,2
74,red,11.27.21,25,11.27.21,2
75,i forgot that you existed,09.07.19,28,09.07.19,2
76,august,08.08.20,23,08.08.20,2
77,invisible string,08.08.20,37,08.08.20,2
78,the last great american dynasty,08.08.20,13,08.08.20,2
79,mirrorball,08.08.20,26,08.08.20,2
80,seven,08.08.20,35,08.08.20,2
81,my tears ricochet,08.08.20,16,08.08.20,2
82,cruel summer,09.07.19,29,09.07.19,2
83,untouchable,11.14.09,19,11.14.09,2
84,the other side of the door,11.14.09,23,11.14.09,2
85,haunted,11.13.10,63,11.13.10,2
86,ronan,09.22.12,16,09.22.12,2
87,if this was a movie,11.26.11,10,11.26.11,2
88,call it what you want,11.25.17,27,11.25.17,2
89,welcome to new york,11.08.14,48,11.08.14,2
90,glitch,11.05.22,41,11.05.22,2
91,dear reader,11.05.22,45,11.05.22,2
92,state of grace,11.27.21,18,11.27.21,2
93,treacherous,11.27.21,54,11.27.21,1
94,better man,11.27.21,51,11.27.21,1
95,i almost do,11.27.21,59,11.27.21,1
96,the last time,11.27.21,66,11.27.21,1
97,holy ground,11.27.21,76,11.27.21,1
98,the very first night,11.27.21,61,11.27.21,1
99,begin again,11.27.21,77,11.27.21,1
100,the lucky one,11.27.21,84,11.27.21,1
101,sad beautiful tragic,11.27.21,85,11.27.21,1
102,forever winter,11.27.21,79,11.27.21,1
103,the moment i knew,11.27.21,83,11.27.21,1
104,starlight,11.27.21,90,11.27.21,1
105,come back...be here,11.27.21,87,11.27.21,1
106,this love,05.21.22,50,05.21.22,1
107,carolina,07.09.22,60,07.09.22,1
108,sweeter than fiction,11.09.13,34,11.09.13,1
109,you are in love,03.14.15,83,03.14.15,1
110,wonderland,03.07.15,51,03.07.15,1
111,superman,11.26.11,26,11.26.11,1
112,last kiss,11.13.10,71,11.13.10,1
113,long live,11.13.10,85,11.13.10,1
114,dear john,11.13.10,54,11.13.10,1
115,never grow up,11.13.10,84,11.13.10,1
116,enchanted,11.13.10,75,11.13.10,1
117,better than revenge,11.13.10,56,11.13.10,1
118,superstar,11.14.09,26,11.14.09,1
119,breathless,02.13.10,72,02.13.10,1
120,innocent,11.13.10,27,11.13.10,1
121,hey stephen,11.29.08,94,11.29.08,1
122,come in with the rain,11.14.09,30,11.14.09,1
123,breathe,11.29.08,87,11.29.08,1
124,afterglow,09.07.19,75,09.07.19,1
125,false god,09.07.19,77,09.07.19,1
126,death by a thousand cuts,09.07.19,67,09.07.19,1
127,miss americana & the heartbreak prince,09.07.19,49,09.07.19,1
128,it's nice to have a friend,09.07.19,92,09.07.19,1
129,i think he knows,09.07.19,51,09.07.19,1
130,cornelia street,09.07.19,57,09.07.19,1
131,paper rings,09.07.19,45,09.07.19,1
132,soon you'll get better,09.07.19,63,09.07.19,1
133,daylight,09.07.19,89,09.07.19,1
134,london boy,09.07.19,62,09.07.19,1
135,peace,08.08.20,58,08.08.20,1
136,hoax,08.08.20,71,08.08.20,1
137,epiphany,08.08.20,57,08.08.20,1
138,this is me trying,08.08.20,39,08.08.20,1
139,illicit affairs,08.08.20,44,08.08.20,1
140,mad woman,08.08.20,47,08.08.20,1
141,only the young,02.15.20,50,02.15.20,1
142,everything has changed,11.27.21,63,11.27.21,1
143,stay stay stay,11.27.21,67,11.27.21,1
144,babe,11.27.21,69,11.27.21,1
145,nothing new,11.27.21,43,11.27.21,1
146,run,11.27.21,47,11.27.21,1
147,i knew you were trouble,11.27.21,46,11.27.21,1
148,22,11.27.21,52,11.27.21,1
149,we are never ever getting back together,11.27.21,55,11.27.21,1
150,gold rush,12.26.20,40,12.26.20,1
151,long story short,12.26.20,68,12.26.20,1
152,cowboy like me,12.26.20,71,12.26.20,1
153,tolerate it,12.26.20,45,12.26.20,1
154,ivy,12.26.20,61,12.26.20,1
155,evermore,12.26.20,57,12.26.20,1
156,coney island,12.26.20,63,12.26.20,1
157,closure,12.26.20,82,12.26.20,1
158,dorothea,12.26.20,67,12.26.20,1
159,happiness,12.26.20,52,12.26.20,1
160,marjorie,12.26.20,75,12.26.20,1
161,you belong with me,04.24.21,75,04.24.21,1
162,fifteen,04.24.21,88,04.24.21,1
163,fearless,04.24.21,71,04.24.21,1
164,forever & always,04.24.21,65,04.24.21,1
165,the way i loved you,04.24.21,94,04.24.21,1
166,renegade,07.17.21,73,07.17.21,1
167,wildest dreams,10.02.21,37,10.02.21,1
