,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
0,Tim McGraw,Taylor Swift,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462,0.0251,0.425,76.009
1,Picture To Burn,Taylor Swift,Taylor Swift,2006-10-24,173066,54,0.658,0.173,0.877,0.0,0.0962,-2.098,0.0323,0.821,105.586
2,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,Taylor Swift,2006-10-24,203040,59,0.621,0.288,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953
3,A Place in this World,Taylor Swift,Taylor Swift,2006-10-24,199200,49,0.576,0.051,0.777,0.0,0.32,-2.881,0.0324,0.428,115.028
4,Cold As You,Taylor Swift,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.482,0.0,0.123,-5.769,0.0266,0.261,175.558
5,The Outside,Taylor Swift,Taylor Swift,2006-10-24,207106,47,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.982
6,Tied Together with a Smile,Taylor Swift,Taylor Swift,2006-10-24,248106,47,0.479,0.525,0.578,0.0,0.0841,-4.963,0.0294,0.192,146.165
7,Stay Beautiful,Taylor Swift,Taylor Swift,2006-10-24,236053,48,0.594,0.0868,0.629,0.0,0.137,-4.919,0.0246,0.504,131.597
8,Should've Said No,Taylor Swift,Taylor Swift,2006-10-24,242200,53,0.476,0.0103,0.777,0.0,0.196,-3.771,0.0289,0.472,167.964
9,Mary's Song (Oh My My My),Taylor Swift,Taylor Swift,2006-10-24,213080,50,0.403,0.0177,0.627,0.0,0.182,-5.28,0.0292,0.374,74.9
10,Our Song,Taylor Swift,Taylor Swift,2006-10-24,201106,54,0.668,0.111,0.672,0.0,0.329,-4.931,0.0303,0.539,89.011
11,I'm Only Me When I'm With You,Taylor Swift,Taylor Swift,2006-10-24,213053,50,0.563,0.00452,0.934,0.000807,0.103,-3.629,0.0646,0.518,143.964
12,Invisible,Taylor Swift,Taylor Swift,2006-10-24,203226,48,0.612,0.637,0.394,0.0,0.147,-5.723,0.0243,0.233,96.001
13,A Perfectly Good Heart,Taylor Swift,Taylor Swift,2006-10-24,220146,46,0.483,0.00349,0.751,0.0,0.128,-5.726,0.0365,0.268,156.092
14,Teardrops on My Guitar - Pop Version,Taylor Swift,Taylor Swift,2006-10-24,179066,48,0.459,0.0402,0.753,0.0,0.0863,-3.827,0.0537,0.483,199.997
15,Mine - POP Mix,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,230546,45,0.696,0.00461,0.768,1.21e-06,0.101,-3.863,0.0308,0.692,121.05
16,Sparks Fly,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,260946,50,0.608,0.0387,0.785,0.0,0.158,-2.976,0.0311,0.376,114.985
17,Back To December,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,293040,50,0.517,0.0202,0.606,0.0,0.324,-5.797,0.0289,0.296,141.929
18,Speak Now,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,240773,49,0.708,0.101,0.601,0.0,0.0979,-3.75,0.0306,0.742,118.962
19,Dear John,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,403887,48,0.583,0.183,0.468,1.65e-06,0.111,-5.378,0.0278,0.126,119.375
20,Mean,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,237746,48,0.57,0.445,0.747,0.0,0.219,-3.978,0.0426,0.808,164.004
21,The Story Of Us,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,265636,48,0.575,0.000315,0.855,0.00161,0.0419,-4.827,0.0467,0.84,139.92
22,Never Grow Up,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,290480,44,0.715,0.829,0.308,0.0,0.16,-8.829,0.0305,0.547,124.899
23,Enchanted,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,352200,51,0.535,0.0716,0.618,0.000388,0.169,-3.913,0.0273,0.228,81.975
24,Better Than Revenge,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,217173,49,0.519,0.0167,0.917,2.06e-05,0.359,-3.185,0.0887,0.652,145.882
25,Innocent,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,302266,44,0.553,0.202,0.604,0.0,0.125,-5.295,0.0258,0.186,133.989
26,Haunted,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,242093,47,0.434,0.0769,0.944,0.0,0.151,-2.641,0.0581,0.361,162.02
27,Last Kiss,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,367146,47,0.359,0.581,0.329,3.75e-05,0.0979,-9.531,0.0293,0.208,84.358
28,Long Live,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,317960,47,0.412,0.0426,0.682,7.47e-05,0.106,-4.319,0.0339,0.146,203.959
29,Ours,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,238173,55,0.61,0.505,0.556,0.0,0.0851,-7.369,0.0285,0.192,159.838
30,If This Was A Movie,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,234546,52,0.515,0.154,0.724,4.05e-06,0.269,-3.498,0.0267,0.257,147.788
31,Superman,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,276266,47,0.582,0.0187,0.817,1.94e-06,0.101,-3.718,0.0337,0.547,131.983
32,Back To December - Acoustic,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,292533,59,0.541,0.731,0.451,0.0,0.197,-6.522,0.027,0.333,141.713
33,Haunted - Acoustic Version,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,217626,48,0.574,0.841,0.462,0.0,0.28,-5.124,0.0252,0.314,80.858
34,Mine,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,230773,64,0.621,0.00327,0.78,4.55e-06,0.184,-2.934,0.0297,0.672,121.038
35,Back To December,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,293040,43,0.525,0.113,0.676,0.0,0.294,-4.684,0.0294,0.281,141.95
36,The Story Of Us,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,266480,59,0.546,0.00487,0.809,0.000372,0.0437,-3.621,0.041,0.649,139.91
37,State Of Grace,Red (Deluxe Edition),Taylor Swift,2012-10-22,295720,62,0.588,0.000197,0.825,0.00138,0.0884,-5.882,0.0328,0.397,129.968
38,Red,Red (Deluxe Edition),Taylor Swift,2012-10-22,223093,66,0.602,0.0773,0.896,8.87e-05,0.0911,-4.267,0.0437,0.641,124.978
39,Treacherous,Red (Deluxe Edition),Taylor Swift,2012-10-22,242760,61,0.704,0.101,0.621,4.3e-06,0.14,-8.086,0.0334,0.395,109.995
40,I Knew You Were Trouble.,Red (Deluxe Edition),Taylor Swift,2012-10-22,219720,65,0.622,0.00454,0.469,2.25e-06,0.0335,-6.798,0.0363,0.679,77.019
41,All Too Well,Red (Deluxe Edition),Taylor Swift,2012-10-22,329160,72,0.602,0.0382,0.609,0.0002,0.128,-7.803,0.0243,0.337,93.06
42,22,Red (Deluxe Edition),Taylor Swift,2012-10-22,232120,64,0.661,0.00215,0.729,0.0013,0.0477,-6.561,0.0376,0.668,103.987
43,I Almost Do,Red (Deluxe Edition),Taylor Swift,2012-10-22,244560,61,0.567,0.0173,0.481,4.13e-05,0.182,-7.357,0.027,0.233,145.865
44,We Are Never Ever Getting Back Together,Red (Deluxe Edition),Taylor Swift,2012-10-22,193146,65,0.628,0.00957,0.676,2.65e-05,0.121,-5.911,0.0916,0.75,85.984
45,Stay Stay Stay,Red (Deluxe Edition),Taylor Swift,2012-10-22,205853,60,0.729,0.307,0.748,1.29e-06,0.0962,-6.67,0.0245,0.928,99.981
46,The Last Time,Red (Deluxe Edition),Taylor Swift,2012-10-22,299013,61,0.505,0.035,0.443,3.15e-06,0.0906,-7.039,0.0276,0.123,94.069
47,Holy Ground,Red (Deluxe Edition),Taylor Swift,2012-10-22,202960,61,0.627,0.0162,0.816,0.00208,0.0965,-6.698,0.0774,0.648,157.043
48,Sad Beautiful Tragic,Red (Deluxe Edition),Taylor Swift,2012-10-22,284866,59,0.624,0.632,0.34,0.0337,0.0805,-12.411,0.029,0.261,129.987
49,The Lucky One,Red (Deluxe Edition),Taylor Swift,2012-10-22,240266,60,0.706,0.0371,0.499,0.0,0.132,-7.675,0.0369,0.545,117.937
50,Everything Has Changed,Red (Deluxe Edition),Taylor Swift,2012-10-22,245413,62,0.624,0.36,0.458,3.89e-06,0.311,-6.755,0.0287,0.436,80.016
51,Starlight,Red (Deluxe Edition),Taylor Swift,2012-10-22,220600,58,0.649,0.0213,0.777,0.000335,0.21,-5.804,0.0406,0.587,126.018
52,Begin Again,Red (Deluxe Edition),Taylor Swift,2012-10-22,239426,60,0.53,0.199,0.526,3.52e-06,0.14,-8.349,0.0263,0.323,79.025
53,The Moment I Knew,Red (Deluxe Edition),Taylor Swift,2012-10-22,286613,58,0.619,0.187,0.506,1.47e-05,0.101,-7.327,0.0315,0.274,126.03
54,Come Back...Be Here,Red (Deluxe Edition),Taylor Swift,2012-10-22,223920,60,0.483,0.00471,0.548,2.01e-06,0.0997,-6.291,0.0254,0.217,79.926
55,Girl At Home,Red (Deluxe Edition),Taylor Swift,2012-10-22,220840,55,0.733,0.272,0.59,0.0,0.134,-5.86,0.0284,0.633,125.048
56,Treacherous - Original Demo Recording,Red (Deluxe Edition),Taylor Swift,2012-10-22,240266,53,0.828,0.175,0.64,6.14e-05,0.0991,-8.248,0.0355,0.519,109.993
57,Red - Original Demo Recording,Red (Deluxe Edition),Taylor Swift,2012-10-22,227080,53,0.678,0.113,0.902,0.000235,0.0705,-4.659,0.0358,0.637,124.998
58,State Of Grace - Acoustic,Red (Deluxe Edition),Taylor Swift,2012-10-22,323080,55,0.626,0.664,0.118,0.000169,0.127,-15.91,0.0305,0.0682,105.597
59,Welcome To New York,1989 (Deluxe),Taylor Swift,2014-01-01,212600,58,0.789,0.0348,0.634,1.64e-06,0.302,-4.762,0.0323,0.658,116.992
60,Blank Space,1989 (Deluxe),Taylor Swift,2014-01-01,231826,82,0.76,0.103,0.703,0.0,0.0913,-5.412,0.054,0.57,95.997
61,Style,1989 (Deluxe),Taylor Swift,2014-01-01,231000,75,0.588,0.00245,0.791,0.00258,0.118,-5.595,0.0402,0.487,94.933
62,Out Of The Woods,1989 (Deluxe),Taylor Swift,2014-01-01,235800,67,0.553,0.000743,0.841,1.19e-05,0.341,-6.937,0.0396,0.338,92.008
63,All You Had To Do Was Stay,1989 (Deluxe),Taylor Swift,2014-01-01,193293,58,0.605,0.00201,0.725,2.02e-05,0.101,-5.729,0.0323,0.539,96.97
64,Shake It Off,1989 (Deluxe),Taylor Swift,2014-01-01,219200,80,0.647,0.0647,0.8,0.0,0.334,-5.384,0.165,0.942,160.078
65,I Wish You Would,1989 (Deluxe),Taylor Swift,2014-01-01,207440,60,0.653,0.0158,0.893,4.95e-05,0.102,-5.966,0.0538,0.513,118.035
66,Bad Blood,1989 (Deluxe),Taylor Swift,2014-01-01,211933,59,0.646,0.0885,0.794,6.16e-06,0.201,-6.104,0.19,0.287,170.216
67,Wildest Dreams,1989 (Deluxe),Taylor Swift,2014-01-01,220440,61,0.55,0.0692,0.688,0.00144,0.106,-7.416,0.0897,0.465,139.997
68,How You Get The Girl,1989 (Deluxe),Taylor Swift,2014-01-01,247533,60,0.765,0.00364,0.656,0.00868,0.0918,-6.112,0.0504,0.545,119.997
69,This Love,1989 (Deluxe),Taylor Swift,2014-01-01,250093,60,0.481,0.678,0.435,0.0,0.0928,-8.795,0.0321,0.107,143.95
70,I Know Places,1989 (Deluxe),Taylor Swift,2014-01-01,195706,58,0.602,0.245,0.755,0.0,0.178,-4.991,0.071,0.495,159.965
71,Clean,1989 (Deluxe),Taylor Swift,2014-01-01,271000,63,0.815,0.232,0.377,0.0,0.1,-7.754,0.0346,0.211,103.97
72,Wonderland,1989 (Deluxe),Taylor Swift,2014-01-01,245560,65,0.422,0.0493,0.692,2.57e-05,0.177,-5.447,0.0549,0.197,184.014
73,You Are In Love,1989 (Deluxe),Taylor Swift,2014-01-01,267106,62,0.474,0.707,0.48,0.000108,0.0903,-8.894,0.0622,0.319,170.109
74,New Romantics,1989 (Deluxe),Taylor Swift,2014-01-01,230466,66,0.633,0.00463,0.889,0.000458,0.0658,-5.87,0.0715,0.584,121.956
75,I Know Places - Voice Memo,1989 (Deluxe),Taylor Swift,2014-01-01,216333,0,0.592,0.829,0.128,0.0,0.527,-17.932,0.589,0.15,78.828
76,I Wish You Would - Voice Memo,1989 (Deluxe),Taylor Swift,2014-01-01,107133,0,0.781,0.717,0.357,0.0,0.185,-16.394,0.912,0.645,118.317
77,Blank Space - Voice Memo,1989 (Deluxe),Taylor Swift,2014-01-01,131186,0,0.675,0.801,0.234,0.0,0.657,-15.064,0.721,0.578,127.296
78,...Ready For It?,reputation,Taylor Swift,2017-11-10,208186,74,0.613,0.0527,0.764,0.0,0.197,-6.509,0.136,0.417,160.015
79,End Game,reputation,Taylor Swift,2017-11-10,244826,72,0.649,0.00845,0.589,0.0,0.108,-6.237,0.0558,0.151,159.073
80,I Did Something Bad,reputation,Taylor Swift,2017-11-10,238253,74,0.696,0.0679,0.602,2.11e-05,0.0696,-6.156,0.159,0.305,82.989
81,Don’t Blame Me,reputation,Taylor Swift,2017-11-10,236413,75,0.615,0.106,0.534,1.76e-05,0.0607,-6.719,0.0386,0.193,135.917
82,Delicate,reputation,Taylor Swift,2017-11-10,232253,78,0.75,0.216,0.404,0.000357,0.0911,-10.178,0.0682,0.0499,95.045
83,Look What You Made Me Do,reputation,Taylor Swift,2017-11-10,211853,77,0.766,0.204,0.709,1.41e-05,0.126,-6.471,0.123,0.506,128.07
84,So It Goes...,reputation,Taylor Swift,2017-11-10,227906,66,0.574,0.122,0.61,1.1e-06,0.13,-7.283,0.0732,0.374,74.957
85,Gorgeous,reputation,Taylor Swift,2017-11-10,209680,72,0.8,0.0713,0.535,9.48e-06,0.213,-6.684,0.135,0.451,92.027
86,Getaway Car,reputation,Taylor Swift,2017-11-10,233626,76,0.562,0.00465,0.689,2.23e-06,0.0888,-6.745,0.127,0.351,172.054
87,King Of My Heart,reputation,Taylor Swift,2017-11-10,214320,69,0.675,0.00882,0.703,2.21e-06,0.0391,-7.902,0.0382,0.314,110.01
88,Dancing With Our Hands Tied,reputation,Taylor Swift,2017-11-10,211506,68,0.624,0.0604,0.691,1.1e-05,0.138,-6.686,0.196,0.284,160.024
89,Dress,reputation,Taylor Swift,2017-11-10,230373,71,0.719,0.0329,0.469,0.0,0.169,-8.792,0.0533,0.0851,120.085
90,This Is Why We Can't Have Nice Things,reputation,Taylor Swift,2017-11-10,207133,68,0.567,0.0156,0.789,0.0,0.382,-5.986,0.115,0.438,163.96
91,Call It What You Want,reputation,Taylor Swift,2017-11-10,203506,71,0.598,0.186,0.504,0.000221,0.34,-9.874,0.0731,0.252,163.954
92,New Year’s Day,reputation,Taylor Swift,2017-11-10,235466,67,0.661,0.921,0.151,0.0,0.13,-12.864,0.0354,0.23,94.922
93,I Forgot That You Existed,Lover,Taylor Swift,2019-08-23,170640,72,0.664,0.298,0.316,2.03e-06,0.0812,-10.345,0.519,0.541,92.875
94,Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,77,0.552,0.117,0.702,2.06e-05,0.105,-5.707,0.157,0.564,169.994
95,Lover,Lover,Taylor Swift,2019-08-23,221306,80,0.359,0.492,0.543,1.58e-05,0.118,-7.582,0.0919,0.453,68.534
96,The Man,Lover,Taylor Swift,2019-08-23,190360,75,0.777,0.0767,0.658,0.0,0.0901,-5.191,0.054,0.633,110.048
97,The Archer,Lover,Taylor Swift,2019-08-23,211240,69,0.292,0.12,0.574,0.00569,0.0663,-9.375,0.0401,0.166,124.344
98,I Think He Knows,Lover,Taylor Swift,2019-08-23,173386,70,0.897,0.00889,0.366,0.000353,0.0715,-8.029,0.0569,0.416,100.003
99,Miss Americana & The Heartbreak Prince,Lover,Taylor Swift,2019-08-23,234146,70,0.662,0.028,0.747,0.00615,0.138,-6.926,0.0736,0.487,150.088
100,Paper Rings,Lover,Taylor Swift,2019-08-23,222400,76,0.811,0.0129,0.719,1.36e-05,0.0742,-6.553,0.0497,0.865,103.979
101,Cornelia Street,Lover,Taylor Swift,2019-08-23,287266,71,0.824,0.781,0.624,0.000189,0.1,-9.728,0.0827,0.248,102.012
102,Death By A Thousand Cuts,Lover,Taylor Swift,2019-08-23,198533,71,0.712,0.454,0.732,0.0,0.319,-6.754,0.0629,0.313,94.071
103,London Boy,Lover,Taylor Swift,2019-08-23,190240,72,0.695,0.0246,0.71,0.000104,0.133,-6.639,0.05,0.557,157.925
104,Soon You’ll Get Better (feat. The Chicks),Lover,Taylor Swift,2019-08-23,201586,65,0.433,0.907,0.182,0.0,0.123,-12.566,0.0641,0.421,207.476
105,False God,Lover,Taylor Swift,2019-08-23,200306,68,0.739,0.736,0.32,0.000147,0.111,-10.862,0.239,0.351,79.97
106,You Need To Calm Down,Lover,Taylor Swift,2019-08-23,171360,78,0.771,0.00929,0.671,0.0,0.0637,-5.617,0.0553,0.714,85.026
107,Afterglow,Lover,Taylor Swift,2019-08-23,223293,74,0.756,0.13,0.449,0.0,0.114,-8.746,0.0344,0.399,111.011
108,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Taylor Swift,2019-08-23,193000,77,0.61,0.033,0.83,0.0,0.118,-4.105,0.0571,0.728,182.162
109,It’s Nice To Have A Friend,Lover,Taylor Swift,2019-08-23,150440,65,0.737,0.971,0.175,0.000337,0.171,-9.912,0.0401,0.545,70.008
110,Daylight,Lover,Taylor Swift,2019-08-23,293453,68,0.557,0.808,0.496,0.000173,0.0772,-9.602,0.0563,0.265,149.983
111,the 1,folklore (deluxe version),Taylor Swift,2020-08-18,210240,64,0.78,0.75,0.361,7.14e-06,0.108,-6.942,0.048,0.163,139.902
112,cardigan,folklore (deluxe version),Taylor Swift,2020-08-18,239560,65,0.612,0.525,0.58,0.000414,0.26,-8.572,0.0419,0.534,130.045
113,the last great american dynasty,folklore (deluxe version),Taylor Swift,2020-08-18,231000,63,0.688,0.481,0.653,0.00414,0.106,-8.558,0.0403,0.701,147.991
114,exile (feat. Bon Iver),folklore (deluxe version),Taylor Swift,2020-08-18,285640,64,0.31,0.761,0.374,2.46e-05,0.11,-8.464,0.0275,0.16,75.938
115,my tears ricochet,folklore (deluxe version),Taylor Swift,2020-08-18,255893,64,0.456,0.814,0.265,0.0,0.0679,-10.663,0.0328,0.112,129.947
116,mirrorball,folklore (deluxe version),Taylor Swift,2020-08-18,208973,63,0.549,0.686,0.417,1.9e-06,0.0604,-10.064,0.035,0.347,110.137
117,seven,folklore (deluxe version),Taylor Swift,2020-08-18,208906,62,0.602,0.888,0.494,2.59e-05,0.0902,-10.813,0.0277,0.374,94.955
118,august,folklore (deluxe version),Taylor Swift,2020-08-18,261920,65,0.387,0.553,0.634,6.93e-05,0.0931,-9.222,0.0363,0.42,89.567
119,this is me trying,folklore (deluxe version),Taylor Swift,2020-08-18,195106,63,0.511,0.312,0.478,2.3e-05,0.147,-9.837,0.0322,0.408,135.882
120,illicit affairs,folklore (deluxe version),Taylor Swift,2020-08-18,190893,62,0.529,0.862,0.304,0.0,0.108,-10.567,0.0356,0.44,119.58
121,invisible string,folklore (deluxe version),Taylor Swift,2020-08-18,252880,62,0.651,0.859,0.459,6.63e-05,0.105,-11.128,0.0507,0.454,83.455
122,mad woman,folklore (deluxe version),Taylor Swift,2020-08-18,237266,61,0.593,0.67,0.7,6.77e-06,0.116,-9.016,0.0492,0.451,141.898
123,epiphany,folklore (deluxe version),Taylor Swift,2020-08-18,289746,60,0.317,0.727,0.254,0.000326,0.0867,-13.679,0.0286,0.103,93.933
124,betty,folklore (deluxe version),Taylor Swift,2020-08-18,294520,62,0.595,0.589,0.376,0.0,0.0989,-8.767,0.0256,0.476,95.946
125,peace,folklore (deluxe version),Taylor Swift,2020-08-18,234000,60,0.644,0.916,0.284,1.5e-05,0.0909,-12.879,0.0821,0.328,150.072
126,hoax,folklore (deluxe version),Taylor Swift,2020-08-18,220040,60,0.676,0.964,0.178,7.9e-06,0.135,-15.01,0.0394,0.404,118.84
127,the lakes - bonus track,folklore (deluxe version),Taylor Swift,2020-08-18,211813,65,0.313,0.842,0.258,1.3e-06,0.0948,-11.532,0.0383,0.268,179.947
128,willow,evermore (deluxe version),Taylor Swift,2021-01-07,214706,67,0.392,0.833,0.574,0.00179,0.145,-9.195,0.17,0.529,81.112
129,champagne problems,evermore (deluxe version),Taylor Swift,2021-01-07,244000,69,0.462,0.92,0.24,0.0,0.113,-12.077,0.0377,0.32,171.319
130,gold rush,evermore (deluxe version),Taylor Swift,2021-01-07,185320,66,0.512,0.83,0.462,0.166,0.121,-10.491,0.0408,0.353,112.05
131,‘tis the damn season,evermore (deluxe version),Taylor Swift,2021-01-07,229840,66,0.575,0.735,0.434,6.59e-05,0.105,-8.193,0.0312,0.348,145.916
132,tolerate it,evermore (deluxe version),Taylor Swift,2021-01-07,245440,66,0.316,0.878,0.361,2.67e-05,0.0797,-10.381,0.0488,0.221,74.952
133,"no body, no crime (feat. HAIM)",evermore (deluxe version),Taylor Swift,2021-01-07,215626,65,0.546,0.418,0.613,0.0,0.103,-7.589,0.0264,0.535,79.015
134,happiness,evermore (deluxe version),Taylor Swift,2021-01-07,315146,64,0.559,0.87,0.334,0.0,0.114,-10.733,0.0376,0.211,122.079
135,dorothea,evermore (deluxe version),Taylor Swift,2021-01-07,225880,64,0.605,0.696,0.488,0.0,0.129,-8.322,0.0264,0.354,119.966
136,coney island (feat. The National),evermore (deluxe version),Taylor Swift,2021-01-07,275320,64,0.537,0.819,0.537,0.000904,0.142,-11.266,0.0617,0.292,107.895
137,ivy,evermore (deluxe version),Taylor Swift,2021-01-07,260440,65,0.515,0.855,0.545,1.97e-05,0.0921,-9.277,0.0353,0.535,88.856
138,cowboy like me,evermore (deluxe version),Taylor Swift,2021-01-07,275040,64,0.604,0.768,0.517,0.000155,0.123,-9.014,0.0347,0.511,127.967
139,long story short,evermore (deluxe version),Taylor Swift,2021-01-07,215920,64,0.546,0.66,0.73,0.179,0.0972,-7.704,0.0417,0.573,157.895
140,marjorie,evermore (deluxe version),Taylor Swift,2021-01-07,257773,63,0.535,0.876,0.561,0.000136,0.115,-11.609,0.0484,0.287,96.103
141,closure,evermore (deluxe version),Taylor Swift,2021-01-07,180653,62,0.689,0.835,0.704,4.83e-06,0.134,-10.813,0.245,0.92,151.884
142,evermore (feat. Bon Iver),evermore (deluxe version),Taylor Swift,2021-01-07,304106,64,0.39,0.937,0.27,0.00227,0.111,-10.673,0.0308,0.32,125.177
143,right where you left me - bonus track,evermore (deluxe version),Taylor Swift,2021-01-07,245026,72,0.581,0.769,0.619,0.000106,0.117,-6.524,0.0282,0.645,137.915
144,it’s time to go - bonus track,evermore (deluxe version),Taylor Swift,2021-01-07,254640,68,0.592,0.801,0.41,1.39e-05,0.09,-12.426,0.0397,0.416,151.923
145,Fearless (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.333,-4.963,0.0282,0.43,100.118
146,Fifteen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,294419,66,0.559,0.116,0.646,0.0,0.32,-4.61,0.0272,0.289,95.466
147,Love Story (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
148,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,254254,66,0.788,0.106,0.571,0.0,0.0934,-6.135,0.0296,0.797,115.99
149,White Horse (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,234515,66,0.423,0.369,0.517,0.0,0.177,-7.377,0.0486,0.366,185.262
150,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,231124,76,0.632,0.0623,0.773,0.0,0.0885,-4.856,0.0346,0.474,130.033
151,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,263377,64,0.506,0.156,0.626,0.0,0.228,-6.066,0.0287,0.321,148.035
152,Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,200575,63,0.578,0.0222,0.909,0.0,0.333,-3.669,0.0628,0.541,100.023
153,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,261842,64,0.506,0.0538,0.444,0.0,0.123,-4.99,0.0285,0.241,133.873
154,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,243136,74,0.402,0.0033,0.732,0.0,0.108,-4.665,0.0484,0.472,161.032
155,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,225328,67,0.598,0.0231,0.821,0.0,0.143,-4.433,0.0447,0.673,128.03
156,The Best Day (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,245290,62,0.642,0.488,0.576,0.0,0.159,-8.524,0.0282,0.469,125.0
157,Change (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,279359,61,0.499,0.000191,0.815,0.0,0.181,-4.063,0.0341,0.344,95.999
158,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,237580,62,0.572,0.0474,0.69,0.0,0.0897,-6.201,0.0358,0.624,160.111
159,Untouchable (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,312107,62,0.393,0.0181,0.531,0.0,0.169,-6.112,0.0329,0.224,200.391
160,Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,267833,63,0.546,0.819,0.273,0.0,0.137,-9.208,0.0308,0.271,118.753
161,Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,237338,61,0.476,0.0406,0.564,0.0,0.102,-5.677,0.0269,0.167,143.929
162,Superstar (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,263865,60,0.454,0.157,0.555,0.0,0.343,-6.69,0.0283,0.171,171.862
163,The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,238443,64,0.432,0.0279,0.873,0.0,0.167,-4.367,0.0577,0.629,163.936
164,Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,241822,62,0.482,0.0135,0.779,0.0,0.296,-5.025,0.0409,0.328,158.162
165,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,220839,63,0.599,0.816,0.494,0.0,0.101,-7.61,0.0372,0.44,142.893
166,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,277591,74,0.66,0.162,0.817,0.0,0.0667,-6.269,0.0521,0.714,135.942
167,We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,244236,65,0.609,0.849,0.373,0.0,0.0779,-8.819,0.0263,0.13,106.007
168,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,189495,67,0.588,0.225,0.608,0.0,0.092,-7.062,0.0365,0.508,90.201
169,Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,208608,66,0.563,0.514,0.473,1.2e-05,0.109,-11.548,0.0503,0.405,101.934
170,Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,242157,64,0.624,0.334,0.624,0.0,0.0995,-7.86,0.0539,0.527,80.132
